pc11_state_id,pc11_district_id,pc11_subdistrict_id,facebook_pop_sum,facebook_pop_num_cells
24,479,03827,402861.5171456618,28244.73379800292
24,479,03828,76402.92047316094,13525.063084175636
24,479,03829,189194.60149853263,20376.25296432881
24,479,03830,93901.283643416,10865.340974999126
24,479,03831,220813.12347075075,23077.57127664072
24,479,03832,233282.65389511196,23610.51662886136
24,479,03833,175504.7884557958,20062.143157810788
24,479,03834,130589.07838248606,15379.315805558988
24,479,03835,342423.71627273434,24347.417520183542
24,479,03836,194587.99802171,16056.60569371318
24,479,03837,229608.1548083804,16794.58498036934
24,479,03838,425275.822207185,34871.94911025232
24,480,03839,90370.13161884458,12559.374167414557
24,480,03840,136987.09328883069,18307.42697142881
24,480,03841,146528.20114322664,13035.53664850688
24,480,03842,96866.9717027604,6814.239357101615
24,480,03843,255248.56154596395,20830.364764027065
24,480,03844,98501.77805438098,7855.649435644969
24,480,03845,147241.09934534918,14722.80086810328
24,480,03846,248778.173350269,21412.731863077875
24,480,03847,94272.575094567,7372.690837081522
24,480,03848,84396.76952230746,7532.253314465996
24,480,03849,205752.7826612208,17731.253382210187
24,481,03850,271412.7391603028,22202.36392092957
24,481,03851,112008.38160997676,8408.035150669515
24,481,03852,250231.7606904276,22071.834555231944
24,481,03853,96945.10776911612,9403.535912670632
24,481,03854,831964.9735230831,41670.196817526725
24,481,03855,188694.96978682373,14346.973336372996
24,481,03856,243218.2092156149,23129.37040124545
24,481,03857,133197.9613163103,11028.38334948225
24,481,03858,270469.38622991374,21612.888491995865
24,481,03859,427092.6964966194,33920.92612323907
24,481,03860,454965.8540314926,39661.38745992235
24,482,03861,113126.1370462725,6692.030260701209
24,482,03862,131738.19899995878,6725.201070123352
24,482,03863,265538.02179336455,14248.000678208564
24,482,03864,825191.8735865721,52754.99997381035
24,482,03865,313292.9730084564,18280.446109081488
24,482,03866,378764.9283823765,18837.413657059893
24,482,03867,468530.0876067912,25418.63781870569
24,482,03868,243760.8446701909,11778.394974496216
24,483,03869,293985.885811514,24214.646074328663
24,483,03870,133324.5579742049,9029.397987662582
24,483,03871,138426.5375151694,10564.596680474817
24,483,03872,207535.32755913105,16659.89537723823
24,483,03873,217982.296211408,18954.920502921013
24,483,03874,116149.40171488984,11687.031421667683
24,483,03875,135775.07221638746,11147.47678664705
24,483,03876,507857.0583299644,33760.29444196685
24,483,03877,120652.80191356226,10840.902941766695
24,483,03878,362758.2521081563,24041.01042789505
24,484,03879,83680.76629896213,10070.099887895749
24,484,03880,143625.7024594973,15569.61679286011
24,484,03881,251563.62772568892,29465.774581422887
24,484,03882,290375.79173135693,25692.88343153521
24,484,03883,288564.42893887067,27671.48472616059
24,484,03884,246909.96093849064,21320.422642507478
24,484,03885,621914.0424963819,46686.30164847548
24,484,03886,263704.28026332194,16819.668296822245
24,484,03887,225915.29582340497,28100.17704635625
24,484,03888,276013.67245610006,24926.01784653696
24,484,03889,39505.40335446674,5121.132276982688
24,485,03890,279071.07536640856,24888.763170105834
