pc11_district_id,pc11_state_id,facebook_pop_sum,facebook_pop_num_cells
345,19,5684311.648098933,278112.1170051772
245,12,59958.097242712174,11529.09503856767
246,12,94580.2014103464,16286.069769507332
247,12,100164.68971564544,9828.040223534132
248,12,222745.0807050986,29075.419504100068
249,12,117149.052585587,11300.81845125556
250,12,113802.61929303643,30882.801688036165
251,12,132866.5301682664,30294.73604652167
252,12,34326.18400805956,7505.226902076509
253,12,180018.2517439057,23727.5700373032
254,12,129877.12997197828,12393.487751411973
255,12,118168.2083593779,12297.12911966443
256,12,177803.9695193406,8101.463970415294
257,12,8936.513780368727,3209.065419763326
258,12,59633.51990259547,13312.90112629667
259,12,165403.1042505245,25078.13008172095
260,12,23266.66917699695,4988.0
261,13,239026.44564407217,19625.360116864787
262,13,164174.70515605246,18025.623786509303
263,13,127639.91735870596,13546.240050368797
264,13,141152.93109550473,10494.96100127979
265,13,491590.4989299979,47724.100588382455
266,13,164952.6481708828,16645.161470904946
267,13,191037.7447220003,15250.84832513414
268,13,25258.042839145437,4873.035253111273
269,13,53994.45248009752,7830.223860799801
270,13,306362.98648084403,22570.032044531545
271,13,87858.04376992423,10985.800700496882
272,14,770233.1780096412,60390.19441541203
273,14,177736.53737067373,18625.540532345414
274,14,311546.1329504392,28859.652635164777
275,14,263825.6291654345,38137.189990538056
276,14,481491.6764870568,66494.76899913876
277,14,629093.6423039167,82064.59542386974
278,14,455432.84082809935,62908.45541761368
279,14,230783.3881512516,25472.74607104956
280,14,168647.9784912098,13985.779334438994
281,15,116851.75753252434,7351.09315226099
282,15,113459.00026094672,7480.562782026362
283,15,479272.9150860431,27170.542455803603
284,15,140078.16165809,13822.56450362783
285,15,67810.81011177243,6507.511026665568
286,15,193136.5792573217,14830.527535756964
287,15,153392.3691757259,10888.351082164329
288,15,66293.88538206287,5234.394820959948
293,17,784555.1399102345,56008.514154874894
294,17,328998.40462194395,33098.331618047494
295,17,152633.43171047297,15171.955798253415
296,17,465023.5909710421,53187.09055430757
297,17,297156.9362394746,35366.13106976947
298,17,1039547.0209041304,72961.22945184629
299,17,533530.5487409207,64859.50662716565
587,31,57180.45579182765,2857.435417355969
638,35,31073.10746784933,5617.746980550408
639,35,103294.9590369979,16477.465302952944
640,35,261654.87856439743,30260.471280681115
031,02,663994.0708157523,100267.13816368996
033,02,888128.7471668838,130390.90923377608
415,22,135204.16913790978,19856.041475259597
417,22,277878.9903084013,39307.01987045165
314,18,1076216.8292289954,149347.97055639463
315,18,268007.4635057372,31506.57939819276
