ac07_id,facebook_pop_sum,facebook_pop_num_cells
2007-18-050,193079.4926229104,15083.979711045193
2007-18-020,343132.6516202624,42589.75513151992
2007-18-022,310854.32583409786,28716.80618962389
2007-18-036,289328.1641340964,28808.581929117943
2007-18-091,385966.64760548505,24613.132512787477
2007-18-023,249350.9535017103,15286.55773970543
2007-18-092,381464.7192713393,31466.944253656133
2007-18-016,245056.2261644554,29193.54040626745
2007-18-021,462858.516198222,23405.96861884356
2007-18-015,372677.9310296658,16343.220131923868
2007-18-012,336681.1574109182,15023.268208899244
2007-18-014,313987.8537396542,8060.6157961945
2007-18-013,351824.00623021944,16495.86417547078
2007-18-003,296925.56117497233,8211.062334951188
2007-18-004,383803.73041013273,17581.38249965431
2007-18-005,223847.50825104056,9248.767180165356
2007-18-008,436603.1501649708,18142.2939742811
2007-18-009,124339.6418499124,2712.0866329846467
2007-18-010,199472.9648529936,6570.489126928747
2007-18-002,195208.5942551468,12639.971830402754
2007-18-001,262449.1974030174,11046.631695205346
2007-18-011,224323.1209758656,7345.875141069802
2007-18-006,261342.207008697,12693.25393559353
2007-18-007,225705.4111945281,12905.946142319224
2007-10-003,511121.4926870184,9508.890058750178
2007-10-002,554013.1379175356,20761.6357172695
2007-10-004,612655.9427661921,17488.732213290954
2007-10-005,485360.6373331047,17569.945163780103
2007-10-001,316934.34638991096,10063.133570515853
2007-10-007,468749.2509324306,16281.415926910136
2007-10-006,554049.614325806,14341.67994882338
2007-10-010,468731.8190182872,20769.826570646757
2007-10-013,596402.1225122951,20855.79435399012
2007-10-008,577544.5610181468,21685.27225547471
2007-10-015,426133.0707675228,12216.88258728484
2007-10-070,519653.73390207184,23114.160563223897
2007-10-009,651295.0303203154,22006.752887309507
2007-10-011,681227.7560416162,28286.291799210456
2007-10-069,567593.7739743484,28834.61526564104
2007-10-012,567116.0222512123,23601.34495004853
2007-10-014,745253.422857711,20762.95763502973
2007-10-068,937276.5175997271,39275.82935640709
2007-10-019,476795.77946525736,24883.44981785364
2007-10-071,595854.1670516032,22067.38971410162
2007-10-075,482052.04620629305,24174.058100212285
